sampleID,sepal_length,sepal_width,petal_length,petal_width,class,FINAL_ID,QC_CALL
A-8728,5.5,2.5,4.0,1.3,Iris-versicolor,FINAL-274,PASS
B-2104,5.5,2.6,4.4,1.2,Iris-versicolor,FINAL-700,PASS
F-7788,6.1,3.0,4.6,1.4,Iris-versicolor,FINAL-664,PASS
E-2706,5.8,2.6,4.0,1.2,Iris-versicolor,FINAL-074,PASS
C-8646,5.0,2.3,3.3,1.0,Iris-versicolor,FINAL-624,PASS
E-6933,5.6,2.7,4.2,1.3,Iris-versicolor,FINAL-176,PASS
B-8836,5.7,3.0,4.2,1.2,Iris-versicolor,FINAL-547,PASS
F-3296,5.7,2.9,4.2,1.3,Iris-versicolor,FINAL-747,PASS
F-5108,6.2,2.9,4.3,1.3,Iris-versicolor,FINAL-251,PASS
D-6119,5.1,2.5,3.0,1.1,Iris-versicolor,FINAL-168,PASS
D-8480,5.7,2.8,4.1,1.3,Iris-versicolor,FINAL-474,PASS
D-1983,6.3,3.3,6.0,2.5,Iris-virginica,FINAL-389,FAIL
B-3682,5.8,2.7,5.1,1.9,Iris-virginica,FINAL-277,FAIL
A-5540,7.1,3.0,5.9,2.1,Iris-virginica,FINAL-656,PASS
A-3771,6.3,2.9,5.6,1.8,Iris-virginica,FINAL-705,PASS
E-3609,6.5,3.0,5.8,2.2,Iris-virginica,FINAL-571,PASS
A-1164,7.6,3.0,6.6,2.1,Iris-virginica,FINAL-225,PASS
F-0965,4.9,2.5,4.5,1.7,Iris-virginica,FINAL-702,PASS
B-1105,7.3,2.9,6.3,1.8,Iris-virginica,FINAL-333,PASS
A-5414,6.7,2.5,5.8,1.8,Iris-virginica,FINAL-864,PASS
A-8424,7.2,3.6,6.1,2.5,Iris-virginica,FINAL-787,PASS
B-4563,6.5,3.2,5.1,2.0,Iris-virginica,FINAL-795,PASS
F-7954,6.4,2.7,5.3,1.9,Iris-virginica,FINAL-058,PASS
B-8835,6.8,3.0,5.5,2.1,Iris-virginica,FINAL-235,PASS
B-7745,5.7,2.5,5.0,2.0,Iris-virginica,FINAL-842,PASS
B-7750,5.8,2.8,5.1,2.4,Iris-virginica,FINAL-825,FAIL
D-3120,6.4,3.2,5.3,2.3,Iris-virginica,FINAL-324,PASS
A-1589,6.5,3.0,5.5,1.8,Iris-virginica,FINAL-411,PASS
F-7063,7.7,3.8,6.7,2.2,Iris-virginica,FINAL-275,PASS
C-6940,7.7,2.6,6.9,2.3,Iris-virginica,FINAL-068,PASS
D-7652,6.0,2.2,5.0,1.5,Iris-virginica,FINAL-217,PASS
F-0888,6.9,3.2,5.7,2.3,Iris-virginica,FINAL-581,PASS
F-1613,5.6,2.8,4.9,2.0,Iris-virginica,FINAL-898,PASS
A-6597,7.7,2.8,6.7,2.0,Iris-virginica,FINAL-736,PASS
F-5560,6.3,2.7,4.9,1.8,Iris-virginica,FINAL-323,PASS
A-4074,6.7,3.3,5.7,2.1,Iris-virginica,FINAL-218,PASS
B-3117,7.2,3.2,6.0,1.8,Iris-virginica,FINAL-672,PASS
E-7351,6.2,2.8,4.8,1.8,Iris-virginica,FINAL-512,PASS
B-6913,6.1,3.0,4.9,1.8,Iris-virginica,FINAL-406,PASS
B-4564,6.4,2.8,5.6,2.1,Iris-virginica,FINAL-659,PASS
D-4093,7.2,3.0,5.8,1.6,Iris-virginica,FINAL-470,PASS
A-7261,7.4,2.8,6.1,1.9,Iris-virginica,FINAL-147,PASS
E-1605,7.9,3.8,6.4,2.0,Iris-virginica,FINAL-272,FAIL
A-8857,6.4,2.8,5.6,2.2,Iris-virginica,FINAL-143,PASS
A-1529,6.3,2.8,5.1,1.5,Iris-virginica,FINAL-253,FAIL
B-2725,6.1,2.6,5.6,1.4,Iris-virginica,FINAL-763,PASS
D-7957,7.7,3.0,6.1,2.3,Iris-virginica,FINAL-552,PASS
D-3503,6.3,3.4,5.6,2.4,Iris-virginica,FINAL-270,PASS
D-0961,6.4,3.1,5.5,1.8,Iris-virginica,FINAL-765,PASS
B-6210,6.0,3.0,4.8,1.8,Iris-virginica,FINAL-599,PASS
A-6397,6.9,3.1,5.4,2.1,Iris-virginica,FINAL-439,PASS
C-7455,6.7,3.1,5.6,2.4,Iris-virginica,FINAL-598,PASS
C-6931,6.9,3.1,5.1,2.3,Iris-virginica,FINAL-409,PASS
F-7974,5.8,2.7,5.1,1.9,Iris-virginica,FINAL-142,PASS
B-3112,6.8,3.2,5.9,2.3,Iris-virginica,FINAL-522,PASS
C-3567,6.7,3.3,5.7,2.5,Iris-virginica,FINAL-506,PASS
A-8884,6.7,3.0,5.2,2.3,Iris-virginica,FINAL-094,PASS
A-5139,6.3,2.5,5.0,1.9,Iris-virginica,FINAL-774,PASS
A-0822,6.5,3.0,5.2,2.0,Iris-virginica,FINAL-049,PASS
E-7812,6.2,3.4,5.4,2.3,Iris-virginica,FINAL-882,PASS
E-8702,5.9,3.0,5.1,1.8,Iris-virginica,FINAL-113,FAIL
B-9058,5.1,3.1,1.5,0.6,Iris-setosa,FINAL-157,PASS
B-9271,4.9,3.3,1.6,0.5,Iris-setosa,FINAL-812,PASS
A-9075,4.8,3.2,1.5,0.0,Iris-setosa,FINAL-697,PASS
B-9270,6.3,2.7,4.2,1.1,Iris-versicolor,FINAL-066,PASS
C-9517,6.1,2.9,4.2,1.4,Iris-versicolor,FINAL-395,PASS
F-9268,5.6,2.6,4.7,1.4,Iris-versicolor,FINAL-391,PASS
C-9215,6.5,2.7,5.7,2.2,Iris-virginica,FINAL-542,PASS
B-9885,6.7,2.7,5.9,1.9,Iris-virginica,FINAL-258,PASS
F-9884,6.6,2.9,5.8,2.1,Iris-virginica,FINAL-567,PASS
